date,restaurant_type,menu_item_name,meal_type,weather_condition,typical_ingredient_cost,actual_selling_price,quantity_sold,has_promotion,special_event,waste_quantity,waste_ratio,day_of_week,month,quarter,week_of_year,is_weekend,menu_item_name_enc,meal_type_enc,weather_condition_enc
2024-01-01,Food Stall,Cendol,Dinner,Cloudy,2.0,5.36,278,0,0,37,0.1331,0,1,1,1,0,1,1,0
2024-01-01,Food Stall,Cendol,Lunch,Sunny,2.0,6.72,409,0,0,44,0.1076,0,1,1,1,0,1,2,2
2024-01-01,Food Stall,Char Kway Teow,Dinner,Cloudy,5.0,16.9,236,0,0,18,0.0763,0,1,1,1,0,2,1,0
2024-01-01,Food Stall,Chicken Rice,Dinner,Cloudy,4.0,12.15,344,0,0,20,0.0581,0,1,1,1,0,3,1,0
2024-01-01,Food Stall,Kaya Toast Set,Breakfast,Rainy,2.8,9.71,347,0,0,15,0.0432,0,1,1,1,0,4,0,1
2024-01-01,Food Stall,Kaya Toast Set,Breakfast,Sunny,2.8,8.18,625,0,0,26,0.0416,0,1,1,1,0,4,0,2
2024-01-01,Food Stall,Laksa,Lunch,Sunny,4.5,12.48,361,0,0,35,0.097,0,1,1,1,0,5,2,2
2024-01-01,Food Stall,Roti Canai,Dinner,Sunny,0.8,2.14,1350,1,0,46,0.0341,0,1,1,1,0,7,1,2
2024-01-01,Food Stall,Tandoori Chicken,Dinner,Cloudy,7.0,20.9,586,1,0,52,0.0887,0,1,1,1,0,8,1,0
2024-01-02,Food Stall,Beef Rendang,Dinner,Sunny,9.0,33.39,1,0,0,0,0.0,1,1,1,1,0,0,1,2
2024-01-02,Food Stall,Cendol,Dinner,Rainy,2.0,7.35,186,0,0,25,0.1344,1,1,1,1,0,1,1,1
2024-01-02,Food Stall,Cendol,Dinner,Sunny,2.0,7.02,190,0,0,23,0.1211,1,1,1,1,0,1,1,2
2024-01-02,Food Stall,Cendol,Lunch,Cloudy,2.0,5.63,353,0,0,36,0.102,1,1,1,1,0,1,2,0
2024-01-02,Food Stall,Kaya Toast Set,Breakfast,Cloudy,2.8,9.57,416,0,0,23,0.0553,1,1,1,1,0,4,0,0
2024-01-02,Food Stall,Kaya Toast Set,Breakfast,Rainy,2.8,9.24,356,0,0,14,0.0393,1,1,1,1,0,4,0,1
2024-01-02,Food Stall,Laksa,Lunch,Sunny,4.5,20.42,73,0,0,8,0.1096,1,1,1,1,0,5,2,2
2024-01-02,Food Stall,Nasi Lemak,Breakfast,Cloudy,2.5,8.55,259,0,0,19,0.0734,1,1,1,1,0,6,0,0
2024-01-02,Food Stall,Nasi Lemak,Lunch,Sunny,2.5,7.91,350,0,0,28,0.08,1,1,1,1,0,6,2,2
2024-01-02,Food Stall,Roti Canai,Dinner,Cloudy,0.8,1.6,524,1,1,18,0.0344,1,1,1,1,0,7,1,0
2024-01-02,Food Stall,Roti Canai,Dinner,Sunny,0.8,2.13,1012,1,0,30,0.0296,1,1,1,1,0,7,1,2
2024-01-02,Food Stall,Tandoori Chicken,Dinner,Sunny,7.0,22.46,318,1,0,33,0.1038,1,1,1,1,0,8,1,2
2024-01-02,Food Stall,Teh Tarik,Lunch,Cloudy,0.9,2.46,385,0,0,31,0.0805,1,1,1,1,0,9,2,0
2024-01-03,Food Stall,Cendol,Dinner,Sunny,2.0,8.38,64,0,0,8,0.125,2,1,1,1,0,1,1,2
2024-01-03,Food Stall,Laksa,Lunch,Cloudy,4.5,13.76,263,0,0,23,0.0875,2,1,1,1,0,5,2,0
2024-01-03,Food Stall,Laksa,Lunch,Sunny,4.5,14.06,192,0,0,22,0.1146,2,1,1,1,0,5,2,2
2024-01-03,Food Stall,Roti Canai,Breakfast,Sunny,0.8,2.92,239,0,0,8,0.0335,2,1,1,1,0,7,0,2
2024-01-03,Food Stall,Roti Canai,Dinner,Cloudy,0.8,1.73,673,1,1,35,0.052,2,1,1,1,0,7,1,0
2024-01-03,Food Stall,Tandoori Chicken,Dinner,Cloudy,7.0,27.15,99,0,0,11,0.1111,2,1,1,1,0,8,1,0
2024-01-03,Food Stall,Tandoori Chicken,Dinner,Sunny,7.0,24.66,181,0,0,16,0.0884,2,1,1,1,0,8,1,2
2024-01-04,Food Stall,Cendol,Dinner,Sunny,2.0,6.9,192,0,0,22,0.1146,3,1,1,1,0,1,1,2
2024-01-04,Food Stall,Cendol,Lunch,Sunny,2.0,7.04,279,0,0,36,0.129,3,1,1,1,0,1,2,2
2024-01-04,Food Stall,Laksa,Lunch,Sunny,4.5,14.93,448,0,0,47,0.1049,3,1,1,1,0,5,2,2
